platform,username,caption,likes,comments,shares,timestamp
Instagram,happysoul123,Feeling grateful today! ğŸŒŸ,150,40,NaN,2023-12-15T08:30:00Z
Facebook,creativegirl22,Check out our latest blog post!,300,50,150,2023-12-20T12:00:00Z
Twitter,techiegeek007,Exploring new technologies ğŸ”¬,400,100,NaN,2023-11-25T15:00:00Z
LinkedIn,flowerlover88,Networking with like-minded professionals,450,120,NaN,2023-11-30T18:00:00Z
Twitter,adventureseeker55,Embracing the spirit of adventure ğŸŒ,380,90,NaN,2023-11-20T10:00:00Z
Facebook,fashionista123,New fashion trends for the season!,280,60,120,2023-11-15T14:00:00Z
Instagram,musiclover99,Dancing to the rhythm of life ğŸµ,420,110,NaN,2023-10-10T17:00:00Z
Twitter,travelbug22,Wanderlust at its finest âœˆï¸,350,80,NaN,2023-10-05T20:00:00Z
LinkedIn,codingninja007,Mastering the art of coding ğŸ’»,500,150,NaN,2023-10-01T22:00:00Z
Instagram,sunsetdreamer22,Chasing sunsets and dreams ğŸŒ…âœ¨,430,130,NaN,2023-09-01T23:59:00Z
Facebook,bookworm1234,Book recommendations for the month!,320,70,100,2023-08-01T01:00:00Z
Twitter,foodiegirl123,Indulging in culinary delights ğŸ½ï¸,370,95,NaN,2023-08-01T03:00:00Z
LinkedIn,artlover789,Appreciating the beauty of art ğŸ¨,480,140,NaN,2023-08-01T05:00:00Z
Instagram,fitnessfreak101,Embracing a healthy lifestyle ğŸ’ª,410,115,NaN,2023-08-01T07:00:00Z
Twitter,naturelover456,Connecting with nature ğŸŒ¿,360,85,NaN,2023-08-01T09:00:00Z
Facebook,coffeeaddict77,The perfect cup of coffee â˜•,290,65,110,2023-08-01T11:00:00Z
Instagram,petlover222,Unconditional love from our furry friends ğŸ¾,440,105,NaN,2023-08-01T13:00:00Z
Twitter,photographyenthusiast,Capturing moments one click at a time ğŸ“¸,390,75,NaN,2023-07-01T15:00:00Z
LinkedIn,startupfounder2022,Bringing innovative ideas to life!,520,160,NaN,2023-07-01T17:00:00Z
Instagram,travelenthusiast33,Exploring new horizons ğŸŒ,450,125,NaN,2023-07-01T19:00:00Z
Facebook,musiclover555,Discover new tunes for your playlist!,330,75,90,2023-06-01T21:00:00Z
Twitter,codingenthusiast999,Diving deep into the world of coding,370,100,NaN,2023-06-01T23:00:00Z
LinkedIn,businessmind2022,Entrepreneurship journey begins!,510,150,NaN,2023-06-01T01:00:00Z
Instagram,yogalover888,Finding peace through yoga ğŸ§˜,420,110,NaN,2023-06-01T03:00:00Z
Facebook,gardeningenthusiast44,Gardening tips for beginners!,300,70,120,2023-06-01T05:00:00Z
Twitter,foodblogger123,Exploring culinary delights around the world,380,90,NaN,2023-06-01T07:00:00Z
LinkedIn,techenthusiast222,Tech innovations shaping the future,490,140,NaN,2023-06-01T09:00:00Z
Instagram,fitnesslover777,Transforming lives through fitness ğŸ’ª,410,115,NaN,2023-06-01T11:00:00Z
Facebook,bookworm999,Join our book club for exciting reads!,320,65,100,2023-06-01T13:00:00Z
Twitter,photographylover2021,Every picture tells a story ğŸ“·,360,85,NaN,2023-06-01T15:00:00Z
LinkedIn,businessmind2021,Striving for success in the corporate world,530,170,NaN,2023-06-01T17:00:00Z
Instagram,traveller999,Wanderlust and city dust âœˆï¸ğŸŒ†,460,130,NaN,2023-06-01T19:00:00Z
Facebook,musiclover777,Music therapy for the soul ğŸ¶,340,60,80,2023-06-01T21:00:00Z
Twitter,codingenthusiast888,Coding is my superpower ğŸ’»,380,110,NaN,2023-05-01T23:00:00Z
LinkedIn,startupfounder2021,From idea to execution: Startup journey begins!,550,190,NaN,2023-05-01T01:00:00Z
Instagram,yogalover777,Find your inner peace through yoga ğŸ§˜â€â™‚ï¸,440,150,NaN,2023-05-01T03:00:00Z
Facebook,gardeningenthusiast33,Gardening hacks for a green thumb!,310,55,110,2023-05-01T05:00:00Z
Twitter,foodiegirl999,Food is my love language ğŸ”ğŸ¥—,390,120,NaN,2023-04-01T07:00:00Z
LinkedIn,techenthusiast333,Exploring the latest tech trends,510,200,NaN,2023-04-01T09:00:00Z
Instagram,fitnesslover999,Fitness is not a destination! It's a way of life ğŸ’ª,460,170,NaN,2023-04-01T11:00:00Z
Facebook,bookworm888,Books open doors to new worlds!,330,70,120,2023-04-01T13:00:00Z
Twitter,photographylover999,Capturing memories one click at a time ğŸ“¸,400,130,NaN,2023-04-01T15:00:00Z
LinkedIn,businessmind2020,Building empires! One step at a time!,540,210,NaN,2023-04-01T17:00:00Z
Instagram,traveller777,Adventure awaits around every corner ğŸŒ,490,190,NaN,2023-03-01T19:00:00Z
Facebook,musiclover999,Let music be the soundtrack of your life ğŸµ,350,65,100,2023-03-01T21:00:00Z
Twitter,codingenthusiast777,Coding is the new literacy ğŸ’»,410,150,NaN,2023-02-01T23:00:00Z
LinkedIn,startupfounder2020,From idea to impact: Startup journey unfolds,570,230,NaN,2023-02-01T01:00:00Z
Instagram,yogalover999,Breathe. Stretch. Let go ğŸŒ¬ï¸,480,210,NaN,2023-02-01T03:00:00Z
Facebook,gardeningenthusiast999,Gardening brings joy and tranquility!,370,75,130,2023-02-01T05:00:00Z
Twitter,foodiegirl777,Life is too short to eat boring food! ğŸ£,420,160,NaN,2023-01-01T07:00:00Z
